company,product_line,forecast_month,forecast_quantity,lower_bound,upper_bound,model_used,training_months,notes
Matapel Chemicals Sample,Solvents,2026-03-01,2500.186485902005,1721.9806555955247,3278.3923162084857,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Additives,2026-01-01,2506.1752843761083,1563.0358046214776,3449.3147641307387,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Additives,2026-02-01,2376.4044197059625,1406.52428376449,3346.284555647435,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Additives,2026-03-01,2348.5207441892626,1376.308396238646,3320.733092139879,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Industrial Resins,2026-01-01,2939.900688437393,1787.5972922992912,4092.2040845754946,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Industrial Resins,2026-02-01,3111.257723468559,1928.495046780294,4294.0204001568245,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Industrial Resins,2026-03-01,3146.6589689873804,1961.3534923952736,4331.964445579487,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Inorganic Pigments,2026-01-01,3905.4337202133356,2585.7392451307687,5225.1281952959025,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Inorganic Pigments,2026-02-01,3904.0713436210535,2581.4661115722024,5226.676575669904,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Inorganic Pigments,2026-03-01,3904.0100594358623,2581.3280731580007,5226.692045713724,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Organic Pigments,2026-01-01,1676.6500018911756,1245.9092115223502,2107.390792260001,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Organic Pigments,2026-02-01,1682.3126414865771,1251.6186628810976,2113.006620092057,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Organic Pigments,2026-03-01,1682.0312912389725,1251.308097121293,2112.754485356652,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Solvents,2026-01-01,2247.4615598324053,1473.8283284069234,3021.094791257887,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Solvents,2026-02-01,2268.4215704134726,1493.8090649852697,3043.0340758416755,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Tradindo Sample,Solvents,2026-03-01,2269.0544793157337,1494.4213942322401,3043.687564399227,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
